,NITA,TLTA,WCTA,CLCA,OENEG,NITA_LAG,CHIN,INTWO,CASHTA,OCF_TA,LNTA,EXRET,SIGMA,LNMK,RSIZE,MB,PRICE,MB_MISSING
NITA,1.0,-0.105,-0.033,-0.127,-0.218,0.668,0.194,-0.574,-0.358,0.844,0.409,0.197,-0.397,0.342,0.38,-0.163,0.495,-0.24
TLTA,-0.105,1.0,-0.601,0.509,0.559,-0.07,-0.027,0.044,-0.397,-0.008,0.258,-0.058,0.018,0.064,0.057,0.118,-0.086,0.543
WCTA,-0.033,-0.601,1.0,-0.777,-0.221,-0.076,0.029,0.081,0.7,-0.178,-0.28,0.066,0.068,-0.106,-0.112,0.014,0.048,-0.225
CLCA,-0.127,0.509,-0.777,1.0,0.272,-0.073,-0.038,0.059,-0.41,0.002,0.069,-0.081,0.059,-0.047,-0.045,0.037,-0.184,0.275
OENEG,-0.218,0.559,-0.221,0.272,1.0,-0.167,-0.02,0.15,-0.019,-0.14,-0.013,-0.046,0.118,-0.05,-0.066,-0.052,-0.145,0.898
NITA_LAG,0.668,-0.07,-0.076,-0.073,-0.167,1.0,-0.15,-0.623,-0.359,0.675,0.369,0.031,-0.426,0.297,0.335,-0.156,0.438,-0.193
CHIN,0.194,-0.027,0.029,-0.038,-0.02,-0.15,1.0,-0.055,0.009,0.097,0.02,0.264,-0.02,0.076,0.077,0.047,0.094,-0.02
INTWO,-0.574,0.044,0.081,0.059,0.15,-0.623,-0.055,1.0,0.342,-0.531,-0.321,-0.105,0.401,-0.295,-0.34,0.116,-0.442,0.173
CASHTA,-0.358,-0.397,0.7,-0.41,-0.019,-0.359,0.009,0.342,1.0,-0.418,-0.302,0.026,0.217,-0.076,-0.12,0.196,-0.096,-0.02
OCF_TA,0.844,-0.008,-0.178,0.002,-0.14,0.675,0.097,-0.531,-0.418,1.0,0.432,0.17,-0.359,0.34,0.377,-0.155,0.442,-0.164
LNTA,0.409,0.258,-0.28,0.069,-0.013,0.369,0.02,-0.321,-0.302,0.432,1.0,0.048,-0.386,0.88,0.852,-0.045,0.599,-0.03
EXRET,0.197,-0.058,0.066,-0.081,-0.046,0.031,0.264,-0.105,0.026,0.17,0.048,1.0,0.145,0.193,0.205,0.206,0.288,-0.049
SIGMA,-0.397,0.018,0.068,0.059,0.118,-0.426,-0.02,0.401,0.217,-0.359,-0.386,0.145,1.0,-0.37,-0.394,0.078,-0.437,0.139
LNMK,0.342,0.064,-0.106,-0.047,-0.05,0.297,0.076,-0.295,-0.076,0.34,0.88,0.193,-0.37,1.0,0.969,0.208,0.727,-0.07
RSIZE,0.38,0.057,-0.112,-0.045,-0.066,0.335,0.077,-0.34,-0.12,0.377,0.852,0.205,-0.394,0.969,1.0,0.195,0.728,-0.086
MB,-0.163,0.118,0.014,0.037,-0.052,-0.156,0.047,0.116,0.196,-0.155,-0.045,0.206,0.078,0.208,0.195,1.0,0.106,-0.061
PRICE,0.495,-0.086,0.048,-0.184,-0.145,0.438,0.094,-0.442,-0.096,0.442,0.599,0.288,-0.437,0.727,0.728,0.106,1.0,-0.172
MB_MISSING,-0.24,0.543,-0.225,0.275,0.898,-0.193,-0.02,0.173,-0.02,-0.164,-0.03,-0.049,0.139,-0.07,-0.086,-0.061,-0.172,1.0
