feature,mean_D,median_D,std_D,p10_D,p90_D,mean_N,median_N,std_N,p10_N,p90_N,welch_t,p_value
NITA,-0.4927,-0.2827,0.5413,-1.5777,0.0021,-0.0754,0.0241,0.3046,-0.3958,0.119,-40.51,0.0
TLTA,0.7207,0.7197,0.3594,0.2297,1.2762,0.4852,0.47,0.2694,0.1515,0.8154,34.33,0.0
WCTA,0.0963,0.0758,0.3255,-0.4131,0.5291,0.2941,0.2683,0.2641,-0.0097,0.6718,-31.79,0.0
CLCA,1.1078,0.8136,0.9258,0.2498,2.7861,0.5777,0.4659,0.4914,0.1536,1.0465,30.11,0.0
OENEG,0.1936,0.0,0.3952,0.0,1.0,0.037,0.0,0.1889,0.0,0.0,20.84,0.0
NITA_LAG,-0.2841,-0.1288,0.3956,-0.9109,0.0392,-0.049,0.029,0.2533,-0.31,0.1155,-31.19,0.0
CHIN,-0.2041,-0.1637,0.5503,-1.0,0.5134,0.0123,0.045,0.5286,-0.9151,0.828,-20.51,0.0
INTWO,0.7015,1.0,0.4577,0.0,1.0,0.263,0.0,0.4403,0.0,1.0,49.96,0.0
CASHTA,0.179,0.0709,0.2381,0.0048,0.5696,0.2264,0.1208,0.2529,0.01,0.6501,-10.37,0.0
OCF_TA,-0.243,-0.0845,0.3842,-0.974,0.0899,0.001,0.0624,0.2351,-0.2556,0.1822,-33.36,0.0
LNTA,3.838,3.5297,1.8732,1.5223,6.4801,5.6081,5.4994,2.083,2.9247,8.4416,-49.08,0.0
EXRET,-0.4445,-0.5858,0.5841,-0.9857,0.1582,0.0106,-0.0939,0.6594,-0.6156,0.6508,-40.45,0.0
SIGMA,0.2527,0.2265,0.1282,0.1199,0.4339,0.1554,0.1325,0.0963,0.0657,0.2683,39.79,0.0
LNMK,3.0367,2.9148,1.4297,1.197,4.9349,5.6534,5.5735,2.1509,2.886,8.5381,-93.87,0.0
RSIZE,-13.4361,-13.5811,1.3277,-15.2159,-11.6581,-10.8587,-10.9204,2.0647,-13.5236,-8.1127,-99.38,0.0
MB,3.5195,1.763,5.6788,0.3846,7.7455,3.5967,2.162,4.6854,0.7756,7.3044,-0.71,0.4769
PRICE,0.2498,0.2478,1.1465,-1.2685,1.7579,1.9725,2.4744,0.9827,0.4886,2.7081,-78.54,0.0
MB_MISSING,0.2364,0.0,0.4249,0.0,1.0,0.0452,0.0,0.2076,0.0,0.0,23.67,0.0
