fyear,n_obs,n_distress,distress_rate_pct
1990,3320,18.0,0.542
1991,3664,161.0,4.394
1992,3753,80.0,2.132
1993,3936,82.0,2.083
1994,4095,88.0,2.149
1995,3730,88.0,2.359
1996,4730,120.0,2.537
1997,4374,208.0,4.755
1998,4908,177.0,3.606
1999,4728,218.0,4.611
2000,4521,250.0,5.53
2001,4172,228.0,5.465
2002,3834,110.0,2.869
2003,3589,53.0,1.477
2004,3517,62.0,1.763
2005,3433,32.0,0.932
2006,3362,35.0,1.041
2007,3351,118.0,3.521
2008,3155,106.0,3.36
2010,2915,41.0,1.407
2011,2808,42.0,1.496
2012,2721,33.0,1.213
2013,2709,30.0,1.107
2015,2784,40.0,1.437
2016,2703,31.0,1.147
2017,2676,30.0,1.121
2018,2695,38.0,1.41
2019,2687,40.0,1.489
2020,2782,5.0,0.18
2021,3140,31.0,0.987
2022,3142,98.0,3.119
2023,2903,91.0,3.135
