model,prevalence_baseline_pr_auc,pr_auc,roc_auc,precision,recall,f1,ks_stat,brier_score,threshold,design,seed
logistic_regression,0.0158,0.1746,0.92,0.1235,0.6815,0.2092,0.7172,0.1842,0.895,chronological,0
random_forest,0.0158,0.1647,0.9284,0.1703,0.4667,0.2495,0.7321,0.0703,0.7653,chronological,0
xgboost,0.0158,0.1597,0.9235,0.1639,0.4642,0.2423,0.7116,0.1059,0.8915,chronological,0
logistic_regression,0.0246,0.2038,0.9138,0.2337,0.4794,0.3142,0.6912,0.1185,0.865,firm_random,0
random_forest,0.0246,0.2303,0.9273,0.2379,0.5069,0.3238,0.7216,0.0496,0.6064,firm_random,0
xgboost,0.0246,0.228,0.9225,0.2665,0.4089,0.3227,0.7022,0.0646,0.8345,firm_random,0
logistic_regression,0.0257,0.2318,0.9203,0.2571,0.4967,0.3388,0.7097,0.118,0.8703,obs_random,0
random_forest,0.0257,0.2564,0.9255,0.2627,0.5415,0.3538,0.7246,0.0491,0.6108,obs_random,0
xgboost,0.0257,0.2628,0.9258,0.2512,0.5249,0.3398,0.7204,0.0636,0.7662,obs_random,0
logistic_regression,0.0158,0.1757,0.921,0.1112,0.7481,0.1935,0.7204,0.1873,0.8459,chronological_leaky_train,0
random_forest,0.0158,0.1583,0.9295,0.1256,0.6568,0.2109,0.7278,0.0725,0.6123,chronological_leaky_train,0
xgboost,0.0158,0.1517,0.9219,0.1001,0.7086,0.1754,0.7104,0.0915,0.6285,chronological_leaky_train,0
logistic_regression,0.0242,0.2203,0.9141,0.25,0.3887,0.3043,0.6988,0.1218,0.9065,firm_random,1
random_forest,0.0242,0.2525,0.929,0.247,0.5459,0.3401,0.7308,0.0512,0.6211,firm_random,1
xgboost,0.0242,0.2615,0.9287,0.2882,0.4399,0.3483,0.7141,0.0685,0.8557,firm_random,1
logistic_regression,0.0269,0.2562,0.9234,0.2542,0.5039,0.3379,0.7139,0.121,0.8623,obs_random,1
random_forest,0.0269,0.2835,0.93,0.2798,0.5371,0.368,0.7242,0.0499,0.6242,obs_random,1
xgboost,0.0269,0.2795,0.9268,0.2933,0.4897,0.3669,0.7241,0.0651,0.81,obs_random,1
logistic_regression,0.0158,0.1715,0.9198,0.1136,0.7457,0.1971,0.7245,0.1877,0.851,chronological_leaky_train,1
random_forest,0.0158,0.167,0.9298,0.1182,0.7136,0.2027,0.7347,0.0747,0.5804,chronological_leaky_train,1
xgboost,0.0158,0.1744,0.9264,0.126,0.6346,0.2102,0.7325,0.0985,0.7729,chronological_leaky_train,1
logistic_regression,0.0245,0.2296,0.9162,0.2432,0.4685,0.3202,0.6923,0.1195,0.8767,firm_random,2
random_forest,0.0245,0.2587,0.928,0.2713,0.4843,0.3478,0.7243,0.0491,0.6492,firm_random,2
xgboost,0.0245,0.2512,0.9253,0.2369,0.5455,0.3303,0.7059,0.0656,0.7528,firm_random,2
logistic_regression,0.0233,0.216,0.9188,0.214,0.531,0.305,0.7065,0.1211,0.8437,obs_random,2
random_forest,0.0233,0.2269,0.9274,0.2463,0.4507,0.3185,0.7453,0.0499,0.6628,obs_random,2
xgboost,0.0233,0.2404,0.9246,0.2523,0.4507,0.3235,0.7145,0.0649,0.8205,obs_random,2
logistic_regression,0.0158,0.1661,0.9186,0.0864,0.8444,0.1568,0.7199,0.1961,0.7693,chronological_leaky_train,2
random_forest,0.0158,0.1589,0.928,0.1282,0.6469,0.214,0.732,0.0748,0.6297,chronological_leaky_train,2
xgboost,0.0158,0.1457,0.9187,0.1158,0.6296,0.1956,0.7112,0.0941,0.7328,chronological_leaky_train,2
logistic_regression,0.0238,0.2088,0.9136,0.2195,0.4903,0.3032,0.6926,0.1144,0.8448,firm_random,3
random_forest,0.0238,0.2311,0.9242,0.2398,0.4354,0.3092,0.7261,0.0484,0.6398,firm_random,3
xgboost,0.0238,0.2431,0.9209,0.2367,0.4566,0.3118,0.7211,0.0639,0.7917,firm_random,3
logistic_regression,0.0251,0.2259,0.9175,0.2261,0.6136,0.3304,0.699,0.1196,0.8145,obs_random,3
random_forest,0.0251,0.2404,0.9259,0.2504,0.5712,0.3481,0.7222,0.049,0.5816,obs_random,3
xgboost,0.0251,0.2432,0.9195,0.2526,0.5373,0.3436,0.7101,0.0651,0.7674,obs_random,3
logistic_regression,0.0158,0.1698,0.9208,0.0937,0.8198,0.1681,0.7213,0.1908,0.7958,chronological_leaky_train,3
random_forest,0.0158,0.1854,0.932,0.1241,0.6914,0.2104,0.7371,0.0742,0.5957,chronological_leaky_train,3
xgboost,0.0158,0.1677,0.9276,0.1096,0.7358,0.1908,0.7413,0.0937,0.6558,chronological_leaky_train,3
logistic_regression,0.0246,0.2244,0.913,0.2455,0.4872,0.3265,0.6934,0.1169,0.8688,firm_random,4
random_forest,0.0246,0.2332,0.9266,0.277,0.412,0.3313,0.7229,0.0494,0.6978,firm_random,4
xgboost,0.0246,0.2344,0.9214,0.2553,0.494,0.3366,0.7046,0.0646,0.7981,firm_random,4
logistic_regression,0.0257,0.2065,0.9139,0.2085,0.5404,0.3009,0.7009,0.1196,0.8233,obs_random,4
random_forest,0.0257,0.2257,0.9247,0.2427,0.5041,0.3276,0.7333,0.051,0.6104,obs_random,4
xgboost,0.0257,0.229,0.9213,0.2571,0.4481,0.3267,0.7081,0.0668,0.8221,obs_random,4
logistic_regression,0.0158,0.1738,0.9212,0.092,0.8346,0.1657,0.7194,0.1894,0.7817,chronological_leaky_train,4
random_forest,0.0158,0.1734,0.9306,0.1218,0.7185,0.2082,0.7326,0.0746,0.5798,chronological_leaky_train,4
xgboost,0.0158,0.1519,0.9261,0.1224,0.642,0.2056,0.7217,0.0965,0.7537,chronological_leaky_train,4
