cost_ratio_FN_to_FP,model,threshold_from_validation,test_false_negatives,test_false_positives,expected_cost_per_firm_year,cost_review_none,cost_review_all,savings_vs_best_trivial_pct
5:1,Logistic regression (ridge),0.138184,123,2052,0.10454,0.07918,0.98416,-32.0
5:1,Random forest,0.782719,194,1148,0.08302,0.07918,0.98416,-4.9
5:1,XGBoost,0.850575,185,1166,0.08196,0.07918,0.98416,-3.5
5:1,Neural network (balanced),0.942496,205,1387,0.09454,0.07918,0.98416,-19.4
10:1,Logistic regression (ridge),0.135869,117,2110,0.12857,0.15836,0.98416,18.8
10:1,Random forest,0.636213,123,2097,0.13041,0.15836,0.98416,17.6
10:1,XGBoost,0.724791,101,2453,0.13574,0.15836,0.98416,14.3
10:1,Neural network (balanced),0.840284,94,2831,0.14781,0.15836,0.98416,6.7
20:1,Logistic regression (ridge),0.067432,54,3737,0.18881,0.31671,0.98416,40.4
20:1,Random forest,0.432537,76,3385,0.19226,0.31671,0.98416,39.3
20:1,XGBoost,0.556602,59,3729,0.19242,0.31671,0.98416,39.2
20:1,Neural network (balanced),0.66839,52,4396,0.21308,0.31671,0.98416,32.7
50:1,Logistic regression (ridge),0.022561,28,5824,0.28316,0.79178,0.98416,64.2
50:1,Random forest,0.154335,11,6943,0.2937,0.79178,0.98416,62.9
50:1,XGBoost,0.316824,18,5794,0.26239,0.79178,0.98416,66.9
50:1,Neural network (balanced),0.364693,19,7052,0.31366,0.79178,0.98416,60.4
100:1,Logistic regression (ridge),0.005149,12,9564,0.42192,1.58357,0.98416,57.1
100:1,Random forest,0.103415,6,8481,0.35595,1.58357,0.98416,63.8
100:1,XGBoost,0.131253,3,9334,0.37763,1.58357,0.98416,61.6
100:1,Neural network (balanced),0.176408,13,9523,0.42423,1.58357,0.98416,56.9
