model,prevalence_baseline_pr_auc,pr_auc,roc_auc,precision,recall,f1,ks_stat,brier_score,threshold,arm,seed,n_train,train_events
logistic_regression,0.0132,0.1142,0.9163,0.1117,0.5978,0.1882,0.7244,0.1583,0.895,chronological,0,77583,2307
random_forest,0.0132,0.1186,0.9271,0.1469,0.4302,0.2191,0.7568,0.0633,0.7653,chronological,0,77583,2307
xgboost,0.0132,0.1254,0.9242,0.1465,0.419,0.2171,0.7246,0.0927,0.8915,chronological,0,77583,2307
logistic_regression,0.0132,0.1169,0.9199,0.1153,0.4804,0.1859,0.7398,0.1234,0.8693,future_all,0,89576,2533
random_forest,0.0132,0.1252,0.9308,0.1585,0.3631,0.2207,0.7711,0.0535,0.7445,future_all,0,89576,2533
xgboost,0.0132,0.1351,0.9268,0.167,0.4637,0.2456,0.7243,0.076,0.8557,future_all,0,89576,2533
logistic_regression,0.0132,0.1168,0.9192,0.1175,0.5587,0.1942,0.7362,0.1429,0.8818,future_firm_disjoint,0,80257,2399
random_forest,0.0132,0.1255,0.9294,0.1523,0.3855,0.2184,0.7704,0.0587,0.7577,future_firm_disjoint,0,80257,2399
xgboost,0.0132,0.1299,0.9247,0.1598,0.4302,0.233,0.7252,0.081,0.8634,future_firm_disjoint,0,80257,2399
logistic_regression,0.0132,0.1148,0.9175,0.1131,0.5587,0.1881,0.7258,0.1451,0.8855,future_matched,0,80257,2352
random_forest,0.0132,0.1195,0.9296,0.1476,0.4246,0.219,0.7619,0.0592,0.7398,future_matched,0,80257,2352
xgboost,0.0132,0.1349,0.9285,0.1625,0.4749,0.2422,0.7257,0.0782,0.8563,future_matched,0,80257,2352
logistic_regression,0.0132,0.1139,0.917,0.1109,0.5587,0.185,0.7246,0.1453,0.8833,future_matched,1,80257,2355
random_forest,0.0132,0.1198,0.9291,0.1476,0.4246,0.219,0.7664,0.0596,0.744,future_matched,1,80257,2355
xgboost,0.0132,0.1283,0.9251,0.1727,0.4525,0.25,0.7162,0.0806,0.8691,future_matched,1,80257,2355
logistic_regression,0.0132,0.1146,0.9173,0.1126,0.5475,0.1868,0.7248,0.1455,0.8879,future_matched,2,80257,2366
random_forest,0.0132,0.1201,0.9284,0.1404,0.4022,0.2081,0.7647,0.06,0.7524,future_matched,2,80257,2366
xgboost,0.0132,0.1229,0.9238,0.1418,0.419,0.2119,0.7327,0.0813,0.861,future_matched,2,80257,2366
logistic_regression,0.0132,0.1145,0.9175,0.1128,0.5475,0.187,0.7253,0.1443,0.8862,future_matched,3,80257,2348
random_forest,0.0132,0.1256,0.9281,0.1386,0.4134,0.2076,0.7621,0.0598,0.7409,future_matched,3,80257,2348
xgboost,0.0132,0.124,0.9223,0.1455,0.352,0.2059,0.7136,0.081,0.8784,future_matched,3,80257,2348
logistic_regression,0.0132,0.1153,0.9177,0.1119,0.5587,0.1864,0.727,0.1451,0.884,future_matched,4,80257,2357
random_forest,0.0132,0.1208,0.9289,0.1403,0.4358,0.2122,0.7661,0.0595,0.726,future_matched,4,80257,2357
xgboost,0.0132,0.1208,0.9227,0.1341,0.5531,0.2159,0.7174,0.0819,0.812,future_matched,4,80257,2357
logistic_regression,0.0132,0.1152,0.917,0.1121,0.6034,0.1891,0.7276,0.1577,0.8946,recent_past_matched,0,80257,2341
random_forest,0.0132,0.1183,0.9288,0.1343,0.486,0.2104,0.7551,0.0626,0.7151,recent_past_matched,0,80257,2341
xgboost,0.0132,0.1272,0.9232,0.1341,0.514,0.2127,0.7211,0.0931,0.8593,recent_past_matched,0,80257,2341
logistic_regression,0.0132,0.1153,0.9168,0.111,0.5642,0.1855,0.7273,0.1558,0.9001,recent_past_matched,1,80257,2343
random_forest,0.0132,0.1202,0.9284,0.1434,0.4525,0.2177,0.7646,0.0625,0.7458,recent_past_matched,1,80257,2343
xgboost,0.0132,0.1263,0.9236,0.1179,0.5531,0.1943,0.7317,0.0922,0.8248,recent_past_matched,1,80257,2343
logistic_regression,0.0132,0.1144,0.9166,0.11,0.6034,0.186,0.7254,0.1574,0.8915,recent_past_matched,2,80257,2346
random_forest,0.0132,0.122,0.9282,0.1301,0.4972,0.2063,0.7588,0.0629,0.7055,recent_past_matched,2,80257,2346
xgboost,0.0132,0.1264,0.9227,0.1225,0.5196,0.1983,0.7249,0.0931,0.8413,recent_past_matched,2,80257,2346
logistic_regression,0.0132,0.115,0.9169,0.1116,0.6034,0.1883,0.7264,0.1566,0.8921,recent_past_matched,3,80257,2340
random_forest,0.0132,0.1258,0.9281,0.142,0.3911,0.2083,0.7622,0.0623,0.7686,recent_past_matched,3,80257,2340
xgboost,0.0132,0.144,0.9258,0.1319,0.5084,0.2094,0.7291,0.0913,0.8555,recent_past_matched,3,80257,2340
logistic_regression,0.0132,0.1142,0.9167,0.1109,0.6034,0.1873,0.7249,0.1566,0.8915,recent_past_matched,4,80257,2342
random_forest,0.0132,0.1158,0.9277,0.1434,0.4246,0.2144,0.7623,0.0621,0.7552,recent_past_matched,4,80257,2342
xgboost,0.0132,0.1282,0.9244,0.1106,0.5754,0.1856,0.7211,0.0914,0.7998,recent_past_matched,4,80257,2342
