arm,model,pr_auc,pr_auc_sd,roc_auc,n_train,train_events,n_seeds,delta_vs_chronological
chronological,logistic_regression,0.1142,0.0,0.9163,77583,2307,1,0.0
chronological,random_forest,0.1186,0.0,0.9271,77583,2307,1,0.0
chronological,xgboost,0.1254,0.0,0.9242,77583,2307,1,0.0
future_all,logistic_regression,0.1169,0.0,0.9199,89576,2533,1,0.002700000000000008
future_all,random_forest,0.1252,0.0,0.9308,89576,2533,1,0.006600000000000009
future_all,xgboost,0.1351,0.0,0.9268,89576,2533,1,0.009699999999999986
future_firm_disjoint,logistic_regression,0.1168,0.0,0.9192,80257,2399,1,0.002600000000000005
future_firm_disjoint,random_forest,0.1255,0.0,0.9294,80257,2399,1,0.006900000000000003
future_firm_disjoint,xgboost,0.1299,0.0,0.9247,80257,2399,1,0.004499999999999976
future_matched,logistic_regression,0.11461999999999999,0.0005069516742254641,0.9174,80257,2356,5,0.0004199999999999898
future_matched,random_forest,0.12116,0.0025284382531515323,0.92882,80257,2356,5,0.0025600000000000067
future_matched,xgboost,0.12618000000000001,0.005589901609151985,0.92448,80257,2356,5,0.0007800000000000029
recent_past_matched,logistic_regression,0.11482,0.0004919349550499499,0.9168,80257,2342,5,0.0006200000000000094
recent_past_matched,random_forest,0.12042,0.0037857628029236046,0.92824,80257,2342,5,0.0018200000000000022
recent_past_matched,xgboost,0.13042,0.007629678892325668,0.92394,80257,2342,5,0.005019999999999997
