model,review_capacity,threshold_source,threshold,n_reviewed_test,realised_capacity,precision,recall_capture,lift_over_prevalence,number_needed_to_review
Logistic regression (ridge),1%,validation quantile,0.185093,1307,0.0512,0.1477,0.4777,9.32,6.8
Logistic regression (ridge),5%,validation quantile,0.084738,3608,0.1414,0.0928,0.8292,5.86,10.8
Logistic regression (ridge),10%,validation quantile,0.03148,5546,0.2174,0.0669,0.9183,4.22,14.9
Random forest,1%,validation quantile,0.857219,759,0.0298,0.1897,0.3564,11.98,5.3
Random forest,5%,validation quantile,0.551221,2902,0.1138,0.1034,0.7426,6.53,9.7
Random forest,10%,validation quantile,0.296716,4930,0.1932,0.0734,0.896,4.64,13.6
XGBoost,1%,validation quantile,0.882858,879,0.0345,0.1911,0.4158,12.07,5.2
XGBoost,5%,validation quantile,0.679159,3148,0.1234,0.0991,0.7723,6.26,10.1
XGBoost,10%,validation quantile,0.432575,5055,0.1981,0.0736,0.9208,4.65,13.6
Neural network (balanced),1%,validation quantile,0.95132,1387,0.0544,0.1312,0.4505,8.29,7.6
Neural network (balanced),5%,validation quantile,0.768595,3857,0.1512,0.0866,0.8267,5.47,11.5
Neural network (balanced),10%,validation quantile,0.52378,5967,0.2339,0.062,0.9158,3.92,16.1
