model,review_capacity,n_reviewed_test,precision_at_k,recall_at_k,lift_over_prevalence,number_needed_to_review
Logistic regression (ridge),1%,255,0.2549,0.1609,16.1,3.9
Logistic regression (ridge),5%,1276,0.1505,0.4752,9.5,6.6
Logistic regression (ridge),10%,2551,0.1152,0.7277,7.28,8.7
Random forest,1%,255,0.2392,0.151,15.11,4.2
Random forest,5%,1276,0.1575,0.4975,9.95,6.3
Random forest,10%,2551,0.1121,0.7079,7.08,8.9
XGBoost,1%,255,0.2431,0.1535,15.35,4.1
XGBoost,5%,1276,0.163,0.5149,10.29,6.1
XGBoost,10%,2551,0.1141,0.7203,7.2,8.8
Neural network (balanced),1%,255,0.1569,0.099,9.91,6.4
Neural network (balanced),5%,1276,0.1317,0.4158,8.31,7.6
Neural network (balanced),10%,2551,0.1117,0.7054,7.06,9.0
