scheme,comparison,pr_auc_delta,std_error,t_statistic,p_romano_wolf,reject_at_5pct
firm,Logistic regression (ridge) vs Random forest,0.014337068229854921,0.01321550447373643,1.0848672677117555,0.3595,False
firm,Logistic regression (ridge) vs XGBoost,0.0022033416383723525,0.013412684414410991,0.16427297998639379,0.865,False
firm,Logistic regression (ridge) vs Neural network (balanced),0.04137606114444484,0.015801376406918748,2.6185099372943252,0.035,True
firm,Random forest vs XGBoost,-0.012133726591482569,0.005768756003444072,2.103352366478747,0.1,False
firm,Random forest vs Neural network (balanced),0.027038992914589915,0.012520155742830516,2.159637105957999,0.1,False
firm,XGBoost vs Neural network (balanced),0.039172719506072484,0.013076582219544669,2.995638986425957,0.0155,True
firm_year,Logistic regression (ridge) vs Random forest,0.014337068229854921,0.02272451813989229,0.6309074692627509,0.605,False
firm_year,Logistic regression (ridge) vs XGBoost,0.0022033416383723525,0.023678545762841945,0.09305223641858922,0.9245,False
firm_year,Logistic regression (ridge) vs Neural network (balanced),0.04137606114444484,0.032452978833623115,1.274954183915373,0.451,False
firm_year,Random forest vs XGBoost,-0.012133726591482569,0.009108241031002058,1.3321701248553428,0.451,False
firm_year,Random forest vs Neural network (balanced),0.027038992914589915,0.023793266474429947,1.1364136548316337,0.4765,False
firm_year,XGBoost vs Neural network (balanced),0.039172719506072484,0.025989094604581497,1.5072752668793206,0.3665,False
