feature,train_lower_bound,train_upper_bound,val_lower_pct,val_upper_pct,test_lower_pct,test_upper_pct,drifted
CASHTA,0.00013401616888538816,0.9282478836142501,0.52,1.85,0.33,4.24,True
WCTA,-0.42407623787285564,0.8914870475391075,0.44,1.04,1.24,2.87,True
RSIZE,-15.218571694111901,-5.7392793867659915,0.32,1.53,2.29,1.6,True
LNMK,0.9474259242944374,10.617397208257792,0.13,2.1,0.28,3.56,True
LNTA,1.2481909244306821,10.406456936145434,0.22,2.61,0.51,3.25,True
NITA_LAG,-1.365632382050165,0.25473252531267726,0.85,1.53,2.25,1.39,True
TLTA,0.042019542981111435,1.4221767112966712,0.71,0.92,1.33,2.26,True
NITA,-1.6880615045146674,0.252167011163275,0.63,1.53,2.12,1.42,True
OCF_TA,-1.1257420010833108,0.3378468158781001,0.83,0.95,2.43,0.84,True
MB,0.24606880281900484,31.063047810180617,0.65,0.94,0.97,2.28,True
CLCA,0.04528185769820455,3.439995108491383,0.77,0.5,1.7,1.14,False
EXRET,-1.0073876731938216,3.601872376907903,0.3,0.34,2.06,0.55,True
SIGMA,0.03757661878670639,0.6059316180818787,1.7,0.23,1.26,1.21,False
CHIN,-1.0,1.0,0.0,0.0,0.0,0.0,False
